school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Anderson Community Day,Anderson Union High,2002-03,11,Natural Disasters & Weather,Inclement Weather,"power outage, flooding, impassable roads","December 16, 2002",2002,1,45698564530192,Shasta
Anderson High,Anderson Union High,2002-03,992,Natural Disasters & Weather,Inclement Weather,"power outage, flooding, impassable roads","December 16, 2002",2002,1,45698564530804,Shasta
Anderson New Technology High,Anderson Union High,2002-03,73,Natural Disasters & Weather,Inclement Weather,"power outage, flooding, impassable roads","December 16, 2002",2002,1,45698564530333,Shasta
Antelope Community Day,Antelope Elementary,2002-03,5,Infrastructure,Power Outage,power outage,"December 16, 2002",2002,1,52714726114383,Tehama
Antelope Elementary,Antelope Elementary,2002-03,406,Infrastructure,Power Outage,power outage,"December 16, 2002",2002,1,52714726053466,Tehama
Antelope Valley High,Antelope Valley Union High,2002-03,2573,Infrastructure,Power Outage,Power failure,"November 8, 2002",2002,1,19642461930213,Los Angeles
Apple Blossom Elementary,Twin Hills Union Elementary,2002-03,390,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,,
Aragon High,San Mateo Union High,2002-03,1565,Natural Disasters & Weather,Inclement Weather,Severe weather conditions resulting in loss of power and use of restroom facilities,"December 16, 2002",2002,1,41690474130217,San Mateo
Aragon High,San Mateo Union High,2002-03,1565,Natural Disasters & Weather,Inclement Weather,Severe weather conditions resulting in flooding,"November 8, 2002",2002,1,41690474130217,San Mateo
Arcata Elementary,Arcata Elementary,2002-03,251,Natural Disasters & Weather,Inclement Weather,Power failure due to storm,"December 19, 2002",2002,1,12626796007678,Humboldt
Arcata High,Northern Humboldt Union High,2002-03,1046,Infrastructure,Power Outage,power outage,"December 19, 2002",2002,1,12626871230705,Humboldt
Ark Independent Studies,Santa Cruz City High,2002-03,146,Infrastructure,Power Outage,Power outage (All Schools - excluding charter schools 12/16/02),"December 16, 2002",2002,1,44698234430096,Santa Cruz
Bay View Elementary,Santa Cruz City Elementary,2002-03,524,Infrastructure,Power Outage,Power outage (All Schools - excluding charter schools 12/16/02),"December 16, 2002",2002,1,44698156049860,Santa Cruz
Bella Vista Elementary,Bella Vista Elementary,2002-03,467,Infrastructure,Power Outage,Electrical outage,"November 8, 2002",2002,1,45698726050074,Shasta
Bella Vista Elementary,Bella Vista Elementary,2002-03,467,Natural Disasters & Weather,Inclement Weather,No electricity due to winter storm,"December 16, 2002",2002,1,45698726050074,Shasta
Belleview Elementary,Belleview Elementary,2002-03,214,Natural Disasters & Weather,Inclement Weather,Weather/road and power outage.,"December 20, 2002",2002,1,55723066054829,Tuolumne
Belridge Elementary,Belridge Elementary,2002-03,27,Infrastructure,Power Outage,"power outages (1/19, 1/20)","December 19 and 20, 2002",2002,2,15633476009245,Kern
Belridge Elementary,Belridge Elementary,2002-03,27,Natural Disasters & Weather,Inclement Weather,"Unsafe road conditions due to fog (1/8, 1/17, 1/31)","January 8, 17, and 31, 2003",2002,3,15633476009245,Kern
Bend Elementary,Bend Elementary,2002-03,81,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,,
Berrendos Middle,Antelope Elementary,2002-03,244,Infrastructure,Power Outage,power outage,"December 16, 2002",2002,1,52714726066328,Tehama
Bess Maxwell Elementary,Del Norte County Unified,2002-03,314,Natural Disasters & Weather,Inclement Weather,"Heavy rain and hurricane force winds brought down trees, power lines and closed many roadways, making travel throughout district hazardous and unsafe for students and staff.","December 16, 2002",2002,1,8618206005375,Del Norte
Bidwell Elementary,Red Bluff Union Elementary,2002-03,576,Natural Disasters & Weather,Inclement Weather,power outage due to extreme weather conditions.,"December 16, 2002",2002,1,52716216053623,Tehama
Bidwell Point High (Continuation),Stony Creek Joint Unified,2002-03,3,Natural Disasters & Weather,Inclement Weather,Poweroutage due to severe storm.,"December 16 through 20, 2002",2002,5,11626531130046,Glenn
Big Lagoon Elementary,Big Lagoon Union Elementary,2002-03,24,Natural Disasters & Weather,Inclement Weather,"Due to severe winter storm, SD was without power, water and heating.","December 16 and 19, 2002",2002,1,12626956007686,Humboldt
Big Valley Community Day,Big Valley Joint Unified,2002-03,4,Natural Disasters & Weather,Inclement Weather,Winter Storm,"December 16, 2002",2002,1,18640891830116,Lassen
Big Valley Elementary,Big Valley Joint Unified,2002-03,111,Natural Disasters & Weather,Inclement Weather,Winter Storm,"December 16, 2002",2002,1,18640896010698,Lassen
Big Valley Jr. Sr. High,Big Valley Joint Unified,2002-03,105,Natural Disasters & Weather,Inclement Weather,Winter Storm,"December 16, 2002",2002,1,18640891831601,Lassen
Big Valley Primary,Big Valley Joint Unified,2002-03,90,Natural Disasters & Weather,Inclement Weather,Winter Storm,"December 16, 2002",2002,1,18640896010706,Lassen
Black Butte Elementary,Black Butte Union Elementary,2002-03,254,Natural Disasters & Weather,Inclement Weather,Power outage due to severe storm,"December 16 through 19, 2002",2002,4,45698806050082,Shasta
Black Butte Junior High,Black Butte Union Elementary,2002-03,78,Natural Disasters & Weather,Inclement Weather,Power outage due to severe storm,"December 16 through 19, 2002",2002,4,45698806113260,Shasta
Bloomfield Elementary,Arcata Elementary,2002-03,255,Natural Disasters & Weather,Inclement Weather,Power failure due to storm,"December 19, 2002",2002,1,12626796007637,Humboldt
Blue Lake Elementary,Blue Lake Union Elementary,2002-03,196,Infrastructure,Power Outage,no power,"December 19, 2002",2002,1,,
Bodega Bay Elementary,Shoreline Unified,2002-03,40,Natural Disasters & Weather,Inclement Weather,Power outage due to storm.,"November 8, 2002 and December 16 and 17, 2002",2002,3,21733616051627,Marin
Bolinas-Stinson Elementary,Bolinas-Stinson Union,2002-03,149,Natural Disasters & Weather,Inclement Weather,Storm related power outage,"December 16, 2002",2002,1,21653006024137,Marin
Bollinger Canyon Elementary,San Ramon Valley Unified,2002-03,495,Natural Disasters & Weather,Inclement Weather,"Severe storms spanning several days leaving up to 6"" of standing water at school sites, rendering facilities unsafe for students.","December 16 through 20, 2002",2002,5,7618046100952,Contra Costa
Bonny Doon Union Elementary,Bonny Doon Union Elementary,2002-03,166,Natural Disasters & Weather,Inclement Weather,Power outage and unsafe road conditions due to severe winter storm.,"December 16 and 17, 2002",2002,2,,
Bonny View Elementary,Redding Elementary,2002-03,383,Natural Disasters & Weather,Inclement Weather,Power failure caused by inclement weather,"December 16, 2002",2002,1,45701106050462,Shasta
Boulder Creek Elementary,Enterprise Elementary,2002-03,567,Natural Disasters & Weather,Inclement Weather,Large scale power outages due to high winds,"December 16, 2002",2002,1,45699716111470,Shasta
Boulder Creek Elementary,San Lorenzo Valley Unified,2002-03,399,Natural Disasters & Weather,Inclement Weather,"Storm day - power outage, trees downed, flood warnings.","December 16, 2002",2002,1,44698076049837,Santa Cruz
Branciforte Elementary,Santa Cruz City Elementary,2002-03,326,Infrastructure,Power Outage,Power outage (All Schools - excluding charter schools 12/16/02),"December 16, 2002",2002,1,44698156049878,Santa Cruz
Branciforte Middle,Santa Cruz City High,2002-03,382,Infrastructure,Power Outage,Power outage (All Schools - excluding charter schools 12/16/02),"December 16, 2002",2002,1,44698236060149,Santa Cruz
Branscomb Elementary,Laytonville Unified,2002-03,12,Natural Disasters & Weather,Inclement Weather,Power outage due to storm,"December 16, 2002",2002,1,23739166109631,Mendocino
Bridgeville Elementary,Bridgeville Elementary,2002-03,59,Infrastructure,Power Outage,power outage,"December 19, 2002",2002,1,12627296007710,Humboldt
Brook Haven Elementary,Sebastopol Union Elementary,2002-03,481,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,49709386052211,Sonoma
Brookside Elementary,Ross Valley Elementary,2002-03,528,Natural Disasters & Weather,Inclement Weather,Loss of power due to wind/rainstorm,"December 16, 2002",2002,1,21750026024681,Marin
Brookside Elementary,Ross Valley Elementary,2002-03,528,Infrastructure,Power Outage,Power outage.,"November 8, 2002",2002,1,21750026024681,Marin
Browns Valley Elementary,Marysville Joint Unified,2002-03,128,Natural Disasters & Weather,Inclement Weather,Power and phone outages due to high winds,"December 16 and 17, 2002",2002,2,58727366099014,Yuba
Browns Valley Elementary,Vacaville Unified,2002-03,905,Natural Disasters & Weather,Inclement Weather,Flooding at or near schools sites,"December 16, 2002",2002,1,48705736109672,Solano
Buena Vista Elementary,Buena Vista Elementary,2002-03,166,Natural Disasters & Weather,Inclement Weather,Fog,"December 10 and 12, 2002",2002,2,54718296053862,Tulare
Burnt Ranch Elementary,Burnt Ranch Elementary,2002-03,75,Infrastructure,Power Outage,"No electricity or phone power. Without electricity, the school had no water or heat.","December 19, 2002",2002,1,53716626053680,Trinity
Butteville Union Elementary,Butteville Union Elementary,2002-03,115,Natural Disasters & Weather,Inclement Weather,power outage due to storm,"December 19 and 20, 2002",2002,2,,
C. Roy Carmichael Elementary,Plumas Unified,2002-03,405,Infrastructure,Power Outage,Electrical Power Failure,"November 8, 2002",2002,1,32669696110308,Plumas
C. T. English Middle,Loma Prieta Joint Union Elementary,2002-03,264,Natural Disasters & Weather,Inclement Weather,Loss of power/electricity due to winter conditions.,"December 16, 2002",2002,1,43695006093058,Santa Clara
California High,San Ramon Valley Unified,2002-03,2153,Natural Disasters & Weather,Inclement Weather,Severe storm caused power outages at school sites leaving facilities unsafe for students.,"December 16, 2002",2002,1,7618040730051,Contra Costa
Calistoga Elementary,Calistoga Joint Unified,2002-03,526,Infrastructure,Power Outage,Electrical Power outage,"November 8, 2002",2002,1,28662416026744,Napa
Calistoga Junior-Senior High,Calistoga Joint Unified,2002-03,385,Infrastructure,Power Outage,Electrical Power outage,"November 8, 2002",2002,1,28662412831758,Napa
Camptonville Elementary,Camptonville Elementary,2002-03,70,Infrastructure,Power Outage,Power outage,"November 7 and 12, 2002",2002,2,58727286056600,Yuba
Capitola Elementary,Soquel Union Elementary,2002-03,265,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,44698496049969,Santa Cruz
Capuchino High,San Mateo Union High,2002-03,1122,Natural Disasters & Weather,Inclement Weather,Severe weather conditions resulting in loss of power and use of restroom facilities,"December 16, 2002",2002,1,41690474130738,San Mateo
Casa Grande High,Petaluma Joint Union High,2002-03,1726,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,49708624930012,Sonoma
Casterlin Elementary,Southern Humboldt Joint Unified,2002-03,55,Natural Disasters & Weather,Inclement Weather,"Power outage, lack of sanitary facilities, localized flooding.","December 16-20, 2002",2002,4,12630406008197,Humboldt
Castle Rock Elementary,Castle Rock Union Elementary,2002-03,83,Natural Disasters & Weather,Inclement Weather,"Snow, impassable roads I-5 closed and CHP recommended no bus travel","December 20, 2002",2002,1,45699226050165,Shasta
Castle Rock Elementary,Castle Rock Union Elementary,2002-03,83,Infrastructure,Facilities Issues,"Water main for entire town of Castella broke, unable to meet minimum day requirement.","September 27, 2002",2002,1,45699226050165,Shasta
Castro Valley High,Castro Valley Unified,2002-03,2526,Natural Disasters & Weather,Inclement Weather,Flooding due to inclement weather,"November 8, 2002",2002,1,1611500132225,Alameda
Catherine L. Zane Middle,Eureka City Schools,2002-03,737,Infrastructure,Power Outage,Power outage,"December 19, 2002",2002,1,12755156057376,Humboldt
Cedarwood Elementary,Paradise Unified,2002-03,288,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,4615316113526,Butte
Centennial Continuation High,Corning Union High,2002-03,67,Natural Disasters & Weather,Inclement Weather,Severe storm resulting in power outage,"December 16, 2002",2002,1,52715065231675,Tehama
"Central Coast Virtual Charter School, Inc.",San Lorenzo Valley Unified,2002-03,43,Natural Disasters & Weather,Inclement Weather,"Storm day - power outage, trees downed, flood warnings.","December 16, 2002",2002,1,44698076120976,Santa Cruz
Challenge Home Charter,Mt. Shasta Union Elementary,2002-03,1,Natural Disasters & Weather,Inclement Weather,"Excessive snow resulting in poor road conditions, school closed as per CHP recommendation.","December 20, 2002",2002,1,47704256115489,Siskiyou
Charlotte Wood Middle,San Ramon Valley Unified,2002-03,1041,Natural Disasters & Weather,Inclement Weather,"Severe storms spanning several days leaving up to 6"" of standing water at school sites, rendering facilities unsafe for students.","December 16 through 20, 2002",2002,5,7618046005078,Contra Costa
Chrysalis Charter,Enterprise Elementary,2002-03,88,Natural Disasters & Weather,Inclement Weather,Large scale power outages due to high winds,"December 16, 2002",2002,1,45699716113567,Shasta
CIC Program,Eureka City Schools,2002-03,10,Infrastructure,Power Outage,Power outage,"December 19, 2002",2002,1,12755156103204,Humboldt
Coastal Grove Charter,Arcata Elementary,2002-03,20,Natural Disasters & Weather,Inclement Weather,Power failure due to storm,"December 19, 2002",2002,1,12626796120562,Humboldt
Cobb Mountain Elementary,Middletown Unified,2002-03,209,Infrastructure,Power Outage,Power outage,"November 8, 2002",2002,1,17640556105456,Lake
Cobb Mountain Elementary (12/16/02),Middletown Unified,2002-03,209,Infrastructure,Power Outage,Power outage,"November 8, 2002",2002,1,,
Cohasset Elementary,Chico Unified,2002-03,65,Infrastructure,Road Closures,Fallen tree blocking roadway,"December 20, 2002",2002,1,4614246002984,Butte
Cold Springs High,Summerville Union High,2002-03,2,Natural Disasters & Weather,Inclement Weather,Snow storm making roads impassable,"December 20, 2002",2002,1,55724135530100,Tuolumne
Cold Stream Alternative,Tahoe-Truckee Unified,2002-03,42,Natural Disasters & Weather,Inclement Weather,"Five-day period of heavy snowfall, power outages and impassable roads.","December 19 and 20, 2002",2002,2,31669443130192,Placer
Colfax Elementary,Colfax Elementary,2002-03,558,Natural Disasters & Weather,Inclement Weather,Power outage due to severe storm,"December 16, 2002",2002,1,31667956031066,Placer
Colfax High,Placer Union High,2002-03,974,Natural Disasters & Weather,Inclement Weather,Power outage due to storm,"December 16, 2002",2002,1,31668943131851,Placer
Columbia Elementary,Columbia Elementary,2002-03,508,Natural Disasters & Weather,Inclement Weather,power outage due to storm,"December 16 and 17, 2002",2002,2,45699486050181,Shasta
Columbia Middle,Sunnyvale,2002-03,897,Infrastructure,Facilities Issues,Main waterline broke resulting in loss of water for 6-8 hrs.,"December 17, 2002",2002,1,43696906049241,Santa Clara
Columbia-East Valley 6-8 Community Day,Columbia Elementary,2002-03,5,Natural Disasters & Weather,Inclement Weather,power outage due to storm,"December 16 and 17, 2002",2002,2,45699486121032,Shasta
Columbine Elementary,Columbine Elementary,2002-03,189,Natural Disasters & Weather,Inclement Weather,Fog cancellation,"January 31, 2003",2002,1,54718526053896,Tulare
Columbine Elementary,Columbine Elementary,2002-03,189,Natural Disasters & Weather,Inclement Weather,Fog cancellation,"November 20, 2002",2002,1,54718526053896,Tulare
Colusa Alternative High (Continuation),Colusa Unified,2002-03,24,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,6615980630012,Colusa
Colusa Alternative Home,Colusa Unified,2002-03,58,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,6615980630046,Colusa
Colusa High,Colusa Unified,2002-03,440,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,6615980631259,Colusa
Comptche Elementary,Mendocino Unified,2002-03,30,Infrastructure,Power Outage,"Loss of electricity (11/8/02, 12/16/02, 12/17/02)","November 8, 2002, December 16, and 17, 2002",2002,3,23655816025142,Mendocino
Comptche Elementary,Mendocino Unified,2002-03,30,Infrastructure,Facilities Issues,water main break (12/20/02),"November 8, 2002, December 16, 17, and 20, 2002",2002,1,23655816025142,Mendocino
Concow Elementary,Golden Feather Union Elementary,2002-03,88,Natural Disasters & Weather,Inclement Weather,Loss of electricity due to high winds,"December 16, 2002",2002,1,4614576003131,Butte
Connections Visual and Performing Arts Academy,Summerville Union High,2002-03,70,Natural Disasters & Weather,Inclement Weather,Snow storm making roads impassable,"December 20, 2002",2002,1,55724135530191,Tuolumne
Cooper Elementary,Vacaville Unified,2002-03,879,Natural Disasters & Weather,Inclement Weather,Flooding at or near schools sites,"December 16, 2002",2002,1,48705736110241,Solano
Corning High,Corning Union High,2002-03,932,Natural Disasters & Weather,Inclement Weather,Severe storm resulting in power outage,"December 16, 2002",2002,1,52715065231709,Tehama
Corning-Center Alternative Learning,Corning Union High,2002-03,12,Natural Disasters & Weather,Inclement Weather,Severe storm resulting in power outage,"December 16, 2002",2002,1,52715065230057,Tehama
Costanoa Continuation High,Santa Cruz City High,2002-03,128,Infrastructure,Power Outage,Power outage (All Schools - excluding charter schools 12/16/02),"December 16, 2002",2002,1,44698234436960,Santa Cruz
Country High,Vacaville Unified,2002-03,195,Natural Disasters & Weather,Inclement Weather,Flooding at or near schools sites,"December 16, 2002",2002,1,48705734833869,Solano
Cox Bar Elementary,Cox Bar Elementary,2002-03,23,Infrastructure,Power Outage,Loss of power,"December 20, 2002",2002,1,,
Coyote Valley Elementary,Middletown Unified,2002-03,530,Infrastructure,Power Outage,Power outage,"November 8, 2002",2002,1,17640556110761,Lake
Creekside Magnet at Rideout Elementary,Tahoe-Truckee Unified,2002-03,144,Natural Disasters & Weather,Inclement Weather,"Five-day period of heavy snowfall, power outages and impassable roads.","December 19 and 20, 2002",2002,2,31669446071930,Placer
Crescent Elk Middle,Del Norte County Unified,2002-03,635,Natural Disasters & Weather,Inclement Weather,"Heavy rain and hurricane force winds brought down trees, power lines and closed many roadways, making travel throughout district hazardous and unsafe for students and staff.","December 16, 2002",2002,1,8618206005383,Del Norte
Cuddeback Elementary,Cuddeback Union Elementary,2002-03,136,Natural Disasters & Weather,Inclement Weather,Winter Storm,"December 19, 2002",2002,1,12627376007728,Humboldt
Cutten Elementary,Cutten Elementary,2002-03,286,Infrastructure,Power Outage,Power outage,"December 19, 2002",2002,1,12627456007736,Humboldt
Cypress Elementary,Redding Elementary,2002-03,331,Natural Disasters & Weather,Inclement Weather,Power failure caused by inclement weather,"December 16, 2002",2002,1,45701106050470,Shasta
Dana Gray Elementary,Fort Bragg Unified,2002-03,455,Infrastructure,Power Outage,power outage,"December 16, 2002",2002,1,23655656025100,Mendocino
De Laveaga Elementary,Santa Cruz City Elementary,2002-03,448,Infrastructure,Power Outage,Power outage (All Schools - excluding charter schools 12/16/02),"December 16, 2002",2002,1,44698156049886,Santa Cruz
Del Norte High,Del Norte County Unified,2002-03,1219,Natural Disasters & Weather,Inclement Weather,"Heavy rain and hurricane force winds brought down trees, power lines and closed many roadways, making travel throughout district hazardous and unsafe for students and staff.","December 16, 2002",2002,1,8618200833004,Del Norte
Delta Charter,Santa Cruz City High,2002-03,53,Infrastructure,Power Outage,Electrical power outage,"December 16, 2002",2002,1,44698234430187,Santa Cruz
Desert Winds Continuation High,Antelope Valley Union High,2002-03,727,Infrastructure,Power Outage,Power failure,"November 8, 2002",2002,1,19642461931732,Los Angeles
Diamond Valley Elementary,Alpine County Unified,2002-03,104,Natural Disasters & Weather,Inclement Weather,"No electrical power due to storm. December 14 and 15 downed poles, eastern slope of sierras/school and homes.","December 16 through 20, 2002",2002,5,2613336002794,Alpine
Don Pedro High,Big Oak Flat-Groveland Unified,2002-03,56,Infrastructure,Facilities Issues,Water main break,"December 17, 2002",2002,1,55751845530084,Tuolumne
Donner Trail Elementary,Tahoe-Truckee Unified,2002-03,59,Natural Disasters & Weather,Inclement Weather,"Five-day period of heavy snowfall, power outages and impassable roads.","December 19 and 20, 2002",2002,2,31669446031298,Placer
Dow's Prairie Elementary,McKinleyville Union Elementary,2002-03,428,Infrastructure,Power Outage,Power outage of unknown duration throughout district.,"December 19, 2002",2002,1,12629506008056,Humboldt
Dunsmuir Elementary,Dunsmuir Elementary,2002-03,208,Natural Disasters & Weather,Inclement Weather,Impassable roads - interstate 5 closed noth of Redding to the Oregon border due to heavy (4-5') of snow.,"December 20, 2002",2002,1,47702436050710,Siskiyou
Dunsmuir High,Dunsmuir Joint Union High,2002-03,129,Natural Disasters & Weather,Inclement Weather,Impassable roads - Interstate 5 closed north of Redding to Oregon border due to snow.,"December 20, 2002",2002,1,47702504732707,Siskiyou
Dunsmuir Joint Union High Community Day,Dunsmuir Joint Union High,2002-03,5,Natural Disasters & Weather,Inclement Weather,Impassable roads - Interstate 5 closed north of Redding to Oregon border due to snow.,"December 20, 2002",2002,1,47702504730164,Siskiyou
Eagle Prairie Elementary,Rio Dell Elementary,2002-03,223,Infrastructure,Power Outage,Power outage,"December 19, 2002",2002,1,12630086008114,Humboldt
East Cottonwood Elementary,Cottonwood Union Elementary,2002-03,678,Natural Disasters & Weather,Inclement Weather,Severe storms/winds power outages,"December 16, 2002",2002,1,45699556050199,Shasta
East High (Continuation),Fortuna Union High,2002-03,86,Natural Disasters & Weather,Inclement Weather,Massive windstorm knocked out almost all of electrical power to humboldt county,"December 19, 2002",2002,1,12628101233352,Humboldt
East Valley Community Day 6-8 Middle,Black Butte Union Elementary,2002-03,8,Natural Disasters & Weather,Inclement Weather,Power outage due to severe storm,"December 16 through 19, 2002",2002,4,45698806119333,Shasta
East Valley Community Day K-6 Elementary,Black Butte Union Elementary,2002-03,4,Natural Disasters & Weather,Inclement Weather,Power outage due to severe storm,"December 16 through 19, 2002",2002,4,45698806119325,Shasta
Eastern Sierra Academy,Eastern Sierra Unified,2002-03,22,Natural Disasters & Weather,Inclement Weather,"Extreme weather, heavy snow, high winds limited visibility - CalTrans recommended against high profile vehicles on highway","December 16, 2002",2002,1,26736682630051,Mono
Ed Donaldson Education Center,Kelseyville Unified,2002-03,25,Natural Disasters & Weather,Inclement Weather,"Severe weather causing power outages, flooding, and downed trees which blocked the roadway.","December 16, 2002",2002,1,17640141730043,Lake
Edna Maguire Elementary,Mill Valley Elementary,2002-03,355,Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,21653916024418,Marin
Edwin Markham Elementary,Vacaville Unified,2002-03,722,Natural Disasters & Weather,Inclement Weather,Flooding at or near schools sites,"December 16, 2002",2002,1,48705736051296,Solano
El Molino High,West Sonoma County Union High,2002-03,1097,Infrastructure,Power Outage,Power outage,"December 16 and 17, 2002",2002,2,49706074931507,Sonoma
Elise P. Buckingham Charter Magnet High,Vacaville Unified,2002-03,856,Natural Disasters & Weather,Inclement Weather,Flooding at or near schools sites,"December 16, 2002",2002,1,48705734830113,Solano
Elk Creek Elementary,Stony Creek Joint Unified,2002-03,43,Natural Disasters & Weather,Inclement Weather,Poweroutage due to severe storm.,"December 16 through 20, 2002",2002,5,11626536007546,Glenn
Elk Creek Junior-Senior High,Stony Creek Joint Unified,2002-03,60,Natural Disasters & Weather,Inclement Weather,Poweroutage due to severe storm.,"December 16 through 20, 2002",2002,5,11626531132109,Glenn
Elm Elementary,Vacaville Unified,2002-03,402,Natural Disasters & Weather,Inclement Weather,Flooding at or near schools sites,"December 16, 2002",2002,1,48705736051304,Solano
Elmira Elementary,Vacaville Unified,2002-03,314,Natural Disasters & Weather,Inclement Weather,Flooding at or near schools sites,"December 16, 2002",2002,1,48705736093405,Solano
Elsie Allen High,Santa Rosa High,2002-03,1597,Natural Disasters & Weather,Inclement Weather,Power outage due to severe wind storms.,"November 8, 2002",2002,1,49709204930160,Sonoma
Ettersburg Elementary,Southern Humboldt Joint Unified,2002-03,5,Natural Disasters & Weather,Inclement Weather,"Power outage, lack of sanitary facilities, localized flooding.","December 16-20, 2002",2002,4,12630406101893,Humboldt
Eugene Padan Elementary,Vacaville Unified,2002-03,769,Natural Disasters & Weather,Inclement Weather,Flooding at or near schools sites,"December 16, 2002",2002,1,48705736051320,Solano
Eureka Secondary Community Day,Eureka City Schools,2002-03,34,Infrastructure,Power Outage,Power outage,"December 19, 2002",2002,1,12755151230127,Humboldt
Eureka Senior High,Eureka City Schools,2002-03,1801,Infrastructure,Power Outage,Power outage,"December 19, 2002",2002,1,12755151232206,Humboldt
Evergreen Charter,Redding Elementary,2002-03,51,Natural Disasters & Weather,Inclement Weather,Power failure caused by inclement weather,"December 16, 2002",2002,1,45701106120323,Shasta
Evergreen High,Yosemite Joint Union High,2002-03,68,Natural Disasters & Weather,Inclement Weather,power outage at school sites and snow at higher elevations,"December 20, 2002",2002,1,,
Fairmont Charter Elementary,Vacaville Unified,2002-03,545,Natural Disasters & Weather,Inclement Weather,Flooding at or near schools sites,"December 16, 2002",2002,1,48705736051338,Solano
Fairview Elementary,Orland Joint Unified,2002-03,544,Infrastructure,Facilities Issues,Removal of roof,"December 16 and 17, 2002",2002,2,11754816007470,Glenn
Feather Falls Elementary,Feather Falls Union Elementary,2002-03,50,Infrastructure,Power Outage,Community and school was without power for over a week.,"December 16 through 20, 2002",2002,5,4614406003123,Butte
Ferndale Elementary,Ferndale Unified,2002-03,311,Natural Disasters & Weather,Inclement Weather,"Severe winter storms resulted in local flooding, hazardous and impassable road conditions, flooding of school buildings and extended power outages","December 16 and 19, 2002",2002,2,12753746007843,Humboldt
Ferndale High,Ferndale Unified,2002-03,160,Natural Disasters & Weather,Inclement Weather,"Severe winter storms resulted in local flooding, hazardous and impassable road conditions, flooding of school buildings and extended power outages","December 16 and 19, 2002",2002,2,12753741232909,Humboldt
Fieldbrook Elementary,Fieldbrook Elementary,2002-03,97,Natural Disasters & Weather,Inclement Weather,"Severe storm with high winds, flooding, and road closures due to downed trees. Power was out countywide, and school had no heat, light, phones etc.","December 19, 2002",2002,1,12627946007850,Humboldt
